,Ticker,Datetime,Dividends,Close
14,SARE11,2021-04,0.64,100.95
15,SARE11,2021-05,0.64,101.1
16,SARE11,2021-06,0.62,98.5
17,SARE11,2021-07,0.6,93.11
18,SARE11,2021-08,0.6,85.95
19,SARE11,2021-09,0.6,76.43
20,SARE11,2021-10,0.6,75.98
21,SARE11,2021-11,0.62,61.62
22,SARE11,2021-12,0.65,70.97
23,SARE11,2022-01,0.63,72.25
24,SARE11,2022-02,0.62,69.5
25,SARE11,2022-03,0.62,70.35
26,SARE11,2022-04,0.62,76.88
27,SARE11,2022-05,0.62,73.98
28,SARE11,2022-06,0.7,67.41
29,SARE11,2022-07,0.65,70.5
30,SARE11,2022-08,0.65,80.2
31,SARE11,2022-09,0.65,74.9
32,SARE11,2022-10,0.64,77.4
33,SARE11,2022-11,0.64,68.91
34,SARE11,2022-12,0.64,67.89
0,SDIL11,2020-02,0.52,110.4
1,SDIL11,2020-03,0.46,99.9
2,SDIL11,2020-04,0.46,95.47
3,SDIL11,2020-05,0.44,95.0
4,SDIL11,2020-06,0.44,109.03
5,SDIL11,2020-07,0.5,104.95
6,SDIL11,2020-08,0.55,102.4
7,SDIL11,2020-09,0.55,101.05
8,SDIL11,2020-10,0.59,100.88
9,SDIL11,2020-11,0.6,99.98
10,SDIL11,2020-12,0.6,103.58
11,SDIL11,2021-01,0.6,104.2
12,SDIL11,2021-02,0.6,103.3
13,SDIL11,2021-03,0.6,99.9
14,SDIL11,2021-04,0.6,99.0
15,SDIL11,2021-05,0.6,94.5
16,SDIL11,2021-06,0.55,91.85
17,SDIL11,2021-07,0.62,93.7
18,SDIL11,2021-08,0.62,89.09
19,SDIL11,2021-09,0.72,89.52
20,SDIL11,2021-10,0.76,84.94
21,SDIL11,2021-11,0.76,85.4
22,SDIL11,2021-12,0.76,91.11
23,SDIL11,2022-01,0.76,85.93
24,SDIL11,2022-02,0.76,90.0
25,SDIL11,2022-03,0.76,91.91
26,SDIL11,2022-04,0.76,90.99
27,SDIL11,2022-05,0.76,91.62
28,SDIL11,2022-06,0.76,87.82
29,SDIL11,2022-07,0.76,88.55
30,SDIL11,2022-08,0.76,98.0
31,SDIL11,2022-09,0.79,98.0
32,SDIL11,2022-10,0.79,96.65
33,SDIL11,2022-11,0.82,92.95
34,SDIL11,2022-12,0.82,95.19
0,SEQR11,2021-02,0.67,93.85
1,SEQR11,2021-03,0.67,89.4
2,SEQR11,2021-04,0.67,92.49
3,SEQR11,2021-05,0.67,83.6
4,SEQR11,2021-06,0.67,78.9
5,SEQR11,2021-07,0.69,82.0
6,SEQR11,2021-08,0.7,80.2
7,SEQR11,2021-09,0.67,81.58
8,SEQR11,2021-10,0.63,80.03
9,SEQR11,2021-11,0.63,73.19
10,SEQR11,2021-12,0.63,79.0
11,SEQR11,2022-01,0.63,74.78
12,SEQR11,2022-02,0.63,70.0
13,SEQR11,2022-03,0.63,68.53
14,SEQR11,2022-04,0.63,66.85
15,SEQR11,2022-05,0.63,63.4
16,SEQR11,2022-06,0.67,63.35
17,SEQR11,2022-07,0.67,65.0
18,SEQR11,2022-08,0.67,66.8
19,SEQR11,2022-09,0.67,66.7
20,SEQR11,2022-10,0.67,67.22
21,SEQR11,2022-11,0.68,62.5
22,SEQR11,2022-12,0.68,62.21
0,SNCI11,2021-09,0.78,-1.0
1,SNCI11,2021-10,1.15,100.06
2,SNCI11,2021-11,1.2,99.96
3,SNCI11,2021-12,1.2,102.23
4,SNCI11,2022-01,1.4,103.6
5,SNCI11,2022-02,1.4,102.38
6,SNCI11,2022-03,1.3,105.0
7,SNCI11,2022-04,1.45,102.9
8,SNCI11,2022-05,1.4,103.0
9,SNCI11,2022-06,1.3,102.68
10,SNCI11,2022-07,1.25,101.89
11,SNCI11,2022-08,1.15,100.6
12,SNCI11,2022-09,1.0,100.15
13,SNCI11,2022-10,1.0,98.99
14,SNCI11,2022-11,1.0,99.91
15,SNCI11,2022-12,1.0,98.46
0,SNFF11,2021-05,0.12,100.4
1,SNFF11,2021-06,0.41,99.3
2,SNFF11,2021-07,0.55,99.5
3,SNFF11,2021-08,0.7,94.99
4,SNFF11,2021-09,0.7,93.05
5,SNFF11,2021-10,0.62,90.39
6,SNFF11,2021-11,0.7,85.0
7,SNFF11,2021-12,0.65,86.04
8,SNFF11,2022-01,0.65,87.96
9,SNFF11,2022-02,0.65,84.74
10,SNFF11,2022-03,0.65,86.1
11,SNFF11,2022-04,0.65,86.72
12,SNFF11,2022-05,1.3,83.51
13,SNFF11,2022-06,0.65,88.18
14,SNFF11,2022-07,0.65,85.65
15,SNFF11,2022-08,0.65,87.19
16,SNFF11,2022-09,0.65,87.5
17,SNFF11,2022-10,0.65,86.53
18,SNFF11,2022-11,1.3,86.36
19,SNFF11,2022-12,0.8,87.94
0,SPTW11,2020-02,0.75,85.9999
1,SPTW11,2020-03,0.75,69.6
2,SPTW11,2020-04,0.44,76.0
3,SPTW11,2020-05,0.44,70.5
4,SPTW11,2020-06,0.75,71.2
5,SPTW11,2020-07,0.75,73.7
6,SPTW11,2020-08,0.75,83.4
7,SPTW11,2020-09,0.75,91.99
8,SPTW11,2020-10,0.75,89.0001
9,SPTW11,2020-11,0.7,87.85
10,SPTW11,2020-12,1.24,84.85
11,SPTW11,2021-01,0.86,87.01
12,SPTW11,2021-02,0.88,82.0
13,SPTW11,2021-03,5.15,80.93
14,SPTW11,2021-04,0.58,61.99
15,SPTW11,2021-05,0.6,48.78
16,SPTW11,2021-06,2.52,54.4
17,SPTW11,2021-07,0.6,61.99
18,SPTW11,2021-08,0.6,57.69
19,SPTW11,2021-09,0.36,58.61
20,SPTW11,2021-10,1.13,44.95
21,SPTW11,2021-11,0.4,47.1
22,SPTW11,2021-12,0.4,46.5
23,SPTW11,2022-01,0.4,45.31
24,SPTW11,2022-02,0.4,44.09
25,SPTW11,2022-03,0.4,44.99
26,SPTW11,2022-04,0.4,44.29
27,SPTW11,2022-05,0.4,43.78
28,SPTW11,2022-06,0.4,42.95
29,SPTW11,2022-07,0.4,42.02
30,SPTW11,2022-08,0.4,43.32
31,SPTW11,2022-09,0.4,44.3
32,SPTW11,2022-10,0.4,43.97
33,SPTW11,2022-11,0.42,39.21
34,SPTW11,2022-12,0.42,40.79
0,STRX11,2020-02,37.06,15816.0
1,STRX11,2020-03,37.06,15816.0
2,STRX11,2020-04,26.01,15816.0
3,STRX11,2020-05,24.71,15816.0
4,STRX11,2020-06,22.11,15791.29
5,STRX11,2020-07,20.16,15442.44
6,STRX11,2020-08,17.56,15422.28
7,STRX11,2020-09,21.13,15422.28
8,STRX11,2020-10,35.11,15401.15
9,STRX11,2020-11,38.04,15366.04
10,STRX11,2020-12,28.37,15366.04
11,STRX11,2021-01,69.75,15366.04
12,STRX11,2021-02,53.49,15366.04
13,STRX11,2021-03,62.13,15366.04
14,STRX11,2021-04,52.74,15366.04
15,STRX11,2021-05,52.68,15366.04
16,STRX11,2021-06,60.12,15366.04
17,STRX11,2021-07,0.55,15366.04
18,STRX11,2021-08,0.55,15366.04
19,STRX11,2021-09,0.59,15366.04
20,STRX11,2021-10,0.67,15366.04
21,STRX11,2021-11,0.68,15366.04
22,STRX11,2021-12,0.72,15366.04
23,STRX11,2022-01,0.72,15366.04
24,STRX11,2022-02,1.02,15366.04
25,STRX11,2022-03,0.67,15366.04
26,STRX11,2022-04,0.71,15366.04
27,STRX11,2022-05,0.73,15366.04
28,STRX11,2022-06,0.76,15366.04
29,STRX11,2022-07,0.75,15366.04
30,STRX11,2022-08,0.71,15366.04
31,STRX11,2022-09,0.82,15366.04
32,STRX11,2022-10,0.79,15366.04
33,STRX11,2022-11,0.71,15366.04
34,STRX11,2022-12,0.74,15366.04
0,TEPP11,2020-02,0.56,-1.0
1,TEPP11,2020-03,0.49,-1.0
2,TEPP11,2020-04,0.49,1364.3
3,TEPP11,2020-05,0.5,86.15
4,TEPP11,2020-06,0.5,93.0
5,TEPP11,2020-07,0.52,91.0
6,TEPP11,2020-08,0.5,93.2
7,TEPP11,2020-09,0.5,90.7
8,TEPP11,2020-10,0.47,88.35
9,TEPP11,2020-11,0.5,88.9
10,TEPP11,2020-12,0.52,91.78
11,TEPP11,2021-01,0.5,90.41
12,TEPP11,2021-02,0.45,88.44
13,TEPP11,2021-03,0.45,85.9
14,TEPP11,2021-04,0.45,84.09
15,TEPP11,2021-05,0.45,79.34
16,TEPP11,2021-06,0.42,78.4
17,TEPP11,2021-07,0.38,81.56
18,TEPP11,2021-08,0.45,72.56
19,TEPP11,2021-09,0.48,74.0
20,TEPP11,2021-10,0.48,70.13
21,TEPP11,2021-11,0.48,65.97
22,TEPP11,2021-12,0.51,75.2
23,TEPP11,2022-01,0.47,73.46
24,TEPP11,2022-02,0.47,71.48
25,TEPP11,2022-03,0.49,71.0
26,TEPP11,2022-04,0.49,70.45
27,TEPP11,2022-05,0.5,68.51
28,TEPP11,2022-06,0.5,68.43
29,TEPP11,2022-07,0.49,72.03
30,TEPP11,2022-08,0.49,82.56
